PWM (µs),RPM,Current (A),Voltage (V),Power (W),Force (Kg f),Force (N),Efficiency (g/W)
1100,3643,28.22,18,507.9,-4.59,-45.02,9.0
1104,3643,27.91,18,502.4,-4.54,-44.57,9.0
1108,3624,27.31,18,491.6,-4.53,-44.44,9.2
1112,3607,26.62,18,479.2,-4.48,-43.90,9.3
1116,3578,26.04,18,468.7,-4.42,-43.33,9.4
1120,3563,25.38,18,456.8,-4.35,-42.66,9.5
1124,3528,24.8,18,446.4,-4.35,-42.61,9.7
1128,3520,24.03,18,432.5,-4.17,-40.88,9.6
1132,3483,23.53,18,423.5,-4.18,-41.01,9.9
1136,3470,22.78,18,410.0,-4.11,-40.26,10.0
1140,3441,22.21,18,399.8,-4.04,-39.59,10.1
1144,3422,21.5,18,387.0,-3.99,-39.14,10.3
1148,3420,20.61,18,371.0,-3.91,-38.39,10.6
1152,3375,20.17,18,363.1,-3.86,-37.85,10.6
1156,3343,19.51,18,351.2,-3.81,-37.37,10.8
1160,3316,18.85,18,339.3,-3.71,-36.43,10.9
1164,3273,18.23,18,328.1,-3.68,-36.12,11.2
1168,3248,17.57,18,316.3,-3.56,-34.87,11.2
1172,3195,17.12,18,308.2,-3.54,-34.74,11.5
1176,3193,16.34,18,294.1,-3.42,-33.58,11.6
1180,3153,15.8,18,284.4,-3.36,-32.92,11.8
1184,3127,15.19,18,273.4,-3.27,-32.03,11.9
1188,3087,14.69,18,264.4,-3.19,-31.32,12.1
1192,3057,14.16,18,254.9,-3.09,-30.34,12.1
1196,3022,13.68,18,246.2,-3.03,-29.71,12.3
1200,2985,13.27,18,238.9,-2.96,-29.00,12.4
1204,2958,12.83,18,230.9,-2.88,-28.25,12.5
1208,2925,12.36,18,222.5,-2.84,-27.89,12.8
1212,2896,11.99,18,215.8,-2.78,-27.22,12.9
1216,2866,11.58,18,208.4,-2.70,-26.47,12.9
1220,2829,11.32,18,203.8,-2.66,-26.07,13.0
1224,2806,11,18,198.0,-2.59,-25.35,13.1
1228,2785,10.65,18,191.7,-2.53,-24.78,13.2
1232,2756,10.27,18,184.9,-2.48,-24.29,13.4
1236,2720,9.97,18,179.5,-2.42,-23.75,13.5
1240,2695,9.55,18,171.9,-2.36,-23.18,13.7
1244,2673,9.2,18,165.6,-2.32,-22.73,14.0
1248,2638,8.87,18,159.7,-2.25,-22.11,14.1
1252,2603,8.54,18,153.7,-2.21,-21.66,14.4
1256,2572,8.19,18,147.4,-2.16,-21.17,14.6
1260,2549,7.77,18,139.9,-2.11,-20.68,15.1
